Symbol,week,total_trading_volume
XZC,8,3.403677E7
ION,8,5040090.0
LCC,8,6268030.0
EMC,8,3427690.0
LTC,8,7.79953681E9
ZEC,8,5.2741504E8
DGB,8,3.303169E7
XTZ,8,9717540.0
ARK,8,1.792992E7
ETP,8,1.840841E7
ADK,8,2.156023E7
NXT,8,4.847822E7
XRP,8,4.87318547E9
EMC2,8,1.349008E7
NANO,8,1.0562387E9
DCR,8,7317940.0
NEO,8,1.304123E9
XDN,8,5.085972E7
VIA,8,1.348834E7
XP,8,1261710.0
STRAT,8,1.0329009E8
ETH,8,1.550583353E10
GBYTE,8,1.050751E7
DCT,8,4128510.0
DASH,8,7.2970139E8
IOP,8,3370060.0
BCD,8,4.285318E7
VTC,8,2.982008E7
MUE,8,1508240.0
BCX,8,4358420.0
HSR,8,4.918881E8
RADS,8,1299980.0
RIC,8,2021340.0
BAY,8,5528150.0
BTX,8,1.041541E7
HT,8,1.064927E9
XMR,8,6.2833662E8
WICC,8,1.3491407E8
KMD,8,2.793942E7
NEBL,8,4.969593E7
ELA,8,6.926565E8
PIVX,8,2.20092E7
GXS,8,5.886819E7
OC,8,5.70075E7
XLM,8,4.974434E8
BOS,8,2267780.0
CME,8,1018830.0
ETC,8,6.9341733E9
ATMC,8,5.961144E8
CLOAK,8,2940570.0
XEM,8,3.166852E8
OF,8,2.92243E7
LSK,8,7.211963E8
FCT,8,3.335405E7
BCH,8,3.718756E9
CHAT,8,4.459712E7
BURST,8,7928740.0
ZEN,8,2488500.0
HTML,8,7060100.0
STEEM,8,8.862987E7
RDD,7,1.302782E7
KMD,7,9.100536E7
GRS,7,2.538911E7
FCT,7,3.409731E7
STRAT,7,1.472035E8
VTC,7,3.899896E7
XCP,7,8038270.0
WICC,7,3.152871E8
ADK,7,2.239059E7
BCD,7,6.072847E7
BCN,7,2.93741E7
XLM,7,7.885602E8
CHAT,7,8.146659E7
ZEC,7,5.766868E8
ETH,7,1.772599083E10
FRGC,7,5308490.0
ADA,7,1.901234E9
DCR,7,4344990.0
LET,7,6.04251E7
BURST,7,1.184507E7
ZEN,7,2622850.0
OF,7,1.6490906E8
MONA,7,7.000246E7
SBD,7,2.311428E8
XEM,7,5.332297E8
MIOTA,7,3.159278E8
EMC,7,8632140.0
GAME,7,1.327523E7
HT,7,1.389121E9
BCH,7,4.551784E9
NAV,7,1.388563E7
BITB,7,1134640.0
EXCL,7,4666360.0
PIVX,7,5.571088E7
GBYTE,7,1187000.0
NMC,7,9019090.0
SC,7,1.5263693E8
SYS,7,2.159586E7
UBQ,7,1026180.0
BAY,7,3219040.0
ACT,7,6.54154E7
DGB,7,3.78426E7
ARK,7,3.717066E7
NXT,7,8.703414E7
SYNX,7,5942350.0
UBTC,7,1.166954E7
SHIFT,7,1465410.0
OC,7,4.415993E7
BTX,7,1.086207E7
ELA,7,4.794429E8
EMC2,7,6.281214E7
XVG,7,5.730481E8
WDC,7,1054470.0
XMR,7,5.8003829E8
LSK,7,6.460485E8
XRP,7,8.20133064E9
PPC,7,1.57101E7
DOGE,7,2.0873678E8
NEO,7,1.585251E9
XTZ,7,4452340.0
HSR,7,5.216571E8
ATB,7,2.15495E7
ETC,7,4.70681077E9
LTC,7,8.8153256E9
HTML,7,1013890.0
NEOS,7,1408390.0
EDR,7,7021820.0
ETP,7,1.967703E7
WAVES,7,2.376199E8
XAS,7,9149740.0
BTG,7,4.570078E8
MAX,7,1.491559E7
RVR,7,1.599651E7
THC,7,7365580.0
ZCL,7,1.3853744E8
NANO,7,2.489916E8
BTC,7,5.55858437E10
FRST,7,1033620.0
SBTC,7,8268390.0
GXS,7,7.518076E7
NXS,7,1.693676E7
BCX,7,7685900.0
BTS,7,1.310096E8
QTUM,7,1.538995E9
ATMC,7,6.040448E8
XZC,7,4.104636E7
ION,7,1.169615E7
NEBL,7,1.2712759E8
SAK,7,3090520.0
DASH,7,7.3962177E8
USNBT,7,1.0296599E8
XP,7,2270590.0
STEEM,7,1.653692E8
SIB,7,1723970.0
SPHR,7,1229940.0
VIA,7,1.222599E7
XDN,7,5.019464E7
ARDR,7,7.112353E7
ETN,7,1.770052E7
XEM,6,3.437953E8
ZEN,6,7856350.0
RADS,6,2464670.0
UBTC,6,1.206797E7
RDD,6,1.591143E7
PASC,6,3260620.0
IOP,6,2139410.0
BURST,6,3015150.0
STEEM,6,4.584163E8
NANO,6,2.8224096E8
XZC,6,4.623151E7
SBTC,6,7783190.0
BCN,6,2.931436E7
HT,6,9.568422E8
NXT,6,6.052344E7
ZCL,6,3.725208E7
RISE,6,4.295837E7
ETP,6,1.763611E7
SBD,6,1.9985825E8
SHIFT,6,1431660.0
VTC,6,2.20394E7
XMR,6,5.4941815E8
OF,6,1.246769E8
BCD,6,6.305843E7
XAS,6,9322370.0
BTG,6,4.475816E8
DGB,6,4.276849E7
DCR,6,7975890.0
USNBT,6,2.490344E8
XLM,6,1.6249417E9
ARDR,6,1.743598E8
FRGC,6,5477900.0
MIOTA,6,4.474398E8
LSK,6,4.782318E8
DYN,6,2842460.0
LET,6,1.0114302E8
TX,6,2392460.0
XDN,6,6.318243E7
SYS,6,3.602202E7
GAME,6,1.407807E7
BLK,6,1390080.0
DOGE,6,1.0614164E8
ELA,6,3.483949E8
SC,6,1.453993E8
BCX,6,1.341034E7
EMC,6,3390220.0
SLS,6,1719500.0
ARK,6,3.148495E7
HSR,6,4.533866E8
LBC,6,2215900.0
XRP,6,1.466531745E10
ZEC,6,7.2909661E8
XTZ,6,9954320.0
NMC,6,2428850.0
RVR,6,2.059065E7
CHAT,6,4.834099E7
WAVES,6,1.658307E8
LTC,6,5.60307466E9
BOS,6,4092260.0
ACT,6,6.672473E7
NEO,6,2.916216E9
BTS,6,3.1377973E8
SPHR,6,1180440.0
PART,6,1722720.0
XVG,6,1.824586E8
EXCL,6,1486930.0
OC,6,7.291927E7
KMD,6,2.400254E7
BTX,6,1.002182E7
NXS,6,3593270.0
BAY,6,5670430.0
STRAT,6,9.919748E7
NEBL,6,1.692011E7
GBYTE,6,1162690.0
PPC,6,1.099464E7
ETN,6,2.436622E7
VRC,6,3673770.0
FCT,6,4.301381E7
GXS,6,9.470097E7
SKY,6,1018770.0
WICC,6,5.989192E7
ETC,6,2.00961362E9
ADK,6,2.009497E7
DASH,6,6.6338428E8
GRS,6,2.360901E7
SYNX,6,1.19715E7
VIA,6,1.704149E7
NAV,6,2.415453E7
BCH,6,6.93539E9
BTC,6,6.46605392E10
ION,6,1.359158E7
XCP,6,5107330.0
BSD,6,4724730.0
DCT,6,1172970.0
EMC2,6,1.1964835E8
EXP,6,5026010.0
QTUM,6,2.400614E9
XP,6,3243930.0
ATMC,6,7.958784E8
ADA,6,4.708104E9
EDR,6,2177590.0
ATB,6,2.060523E7
MONA,6,2.900739E7
ETH,6,2.651384202E10
PIVX,6,7.433485E7
SBD,5,1.1013551E8
NEO,5,2.998633E9
SPHR,5,2554900.0
PART,5,2963410.0
QTUM,5,2.58869E9
HT,5,1.698972E8
DYN,5,6586870.0
PPC,5,2.009936E7
OC,5,2.294087E7
BSD,5,5900490.0
BBR,5,1930220.0
FCT,5,4.85526E7
RISE,5,4.859789E7
GBYTE,5,4071590.0
MEME,5,9134100.0
BCH,5,4.425066E9
RADS,5,6237640.0
BLK,5,2808370.0
KORE,5,5328090.0
THC,5,2628590.0
BTC,5,6.26536449E10
XTZ,5,1.470256E7
BCN,5,3.72778E7
HTML,5,2514590.0
NLG,5,1452740.0
ATB,5,3.193229E7
FRST,5,1049450.0
XVG,5,2.669696E8
SMART,5,1083090.0
NMC,5,8295270.0
BCD,5,1.0684064E8
DOGE,5,1.3618327E8
BAY,5,2.484011E7
IOP,5,1359950.0
XMR,5,5.4471295E8
WICC,5,5.123894E7
XAS,5,1.242781E7
NXT,5,8.326583E7
SYS,5,2.36549E7
LSK,5,6.404372E8
LBC,5,7993630.0
XVC,5,1195640.0
NEBL,5,2.535022E7
XEM,5,3.297476E8
BOS,5,9416830.0
ETH,5,2.989828628E10
SIB,5,4396900.0
DGB,5,7.791849E7
ETN,5,3.056782E7
AUR,5,1619790.0
PASC,5,6864660.0
ZEN,5,1.679138E7
SYNX,5,9691750.0
ADA,5,5.357532E9
KMD,5,4.578496E7
UNB,5,3418930.0
VTC,5,2.308157E7
